116.318417,39.984702,0
116.31845,39.984683,6
116.318417,39.984686,11
116.318385,39.984688,16
116.318263,39.984655,21
116.318026,39.984611,26
116.317761,39.984608,31
116.317517,39.984563,36
116.317294,39.984539,41
116.317065,39.984606,46
116.316911,39.984568,51
116.316716,39.984586,56
116.316527,39.984561,61
116.316354,39.984536,66
116.316188,39.984523,71
116.315963,39.984516,76
116.315823,39.984523,81
116.315611,39.984574,86
116.315407,39.984568,91
116.315148,39.984538,96
116.314907,39.984501,101
116.314808,39.984532,106
116.314625,39.984504,111
116.314426,39.984485,116
116.31424,39.984427,121
116.314042,39.984485,126
116.313818,39.98448,131
116.313659,39.984501,136
116.314323,39.984618,141
116.314107,39.984649,146
116.313941,39.984621,151
116.313724,39.984655,156
116.313521,39.984681,161
116.313311,39.984708,166
116.313099,39.984708,171
116.312921,39.984696,176
116.312746,39.984677,181
116.312525,39.984682,186
116.312332,39.984649,191
116.312123,39.984641,196
